listing_name,listing_url,listing_price,listing_shipping_price,listing_authenticity,listing_Seller,listing_Seller_rating,listing_color,listing_brand,listing_size,,mid,new,running,shoes,,,,retro,mens
adidas 3st.004 boost suede skateboarding shoe red black fy0500 mens size 12 nib,https://www.ebay.com/itm/403099139101?hash=item5dda94bc1d:g:bncAAOSw6JdhJFQq,119.98,0.00,No Guarantee,rockdakicks,100.00%,Red,adidas,12,,,,,,,,,,
adidas 3st.004 boost suede skateboarding shoes red black fy0500 mens size 10 nib,https://www.ebay.com/itm/403099128219?hash=item5dda94919b:g:bncAAOSw6JdhJFQq,119.98,0.00,No Guarantee,rockdakicks,100.00%,Black,adidas,10,,,,,,,,,,
adidas 3st.004 boost suede skateboarding shoes red black fy0500 mens size 9 nib,https://www.ebay.com/itm/403099125431?hash=item5dda9486b7:g:bncAAOSw6JdhJFQq,119.98,0.00,No Guarantee,rockdakicks,100.00%,Red,adidas,9,,,,,,,,,,
adidas 4d fusio mens size 8) casual running fashion shoe blue trainer sneaker,https://www.ebay.com/itm/393597445787?_trkparms=ispr%3D1&hash=item5ba43c669b:g:o7wAAOSwpiBg~xPl&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsS756jE49efRUdZ161WGGuaYY0GkY7pAVxQmI94QZvOdEqQiYLFMlft%252FZd%252FUmbWuiec4S8YF5fmgFgUox4EFhqC0EEejdO6Xvzdq%252FMJE3XudFKLCg0l7QinXXbi7lKexcg8XC9wXK1%252FXPdJc3UNYGg2QOaeQPVV0bO55x4S0ege2%252BVw7RXWbKPcA%252Fbsx%252BzS8mdvThf4po6KUCKraTekEg%252Bjuhzwa4wOdAXbaixtA1c5a33FIStt%252FvD3ULjeYSXnP7YAoXOKDAsHQ%252Fe5EEjI277CNn2EGvn3MpPX8gWEcYTAgDJkm%252BGz91DeNPDf71gc79cmcw%252BRddbHem4KHCkPiYEfAwW8EY%252FLi1AlAeVb%252FlJcmi1MAOInD3OypONeQ98klLOJyfMIDZY7y5VgrTqoo2mmJz%252BbE8VFMi89JRQTEgjgCHTWaMjxTdzo7QKhuY%252B9LwIgwn%252FMaJkrA6mhsXwsCDbceaJlqosIANbPm1xz0YcJrNzrJhQiU7wE5ctx1SJqPnJDz2%252BuCjm6W2gAFbyjs8%252FBDsgQgDjiX%252BZPPSfF7fDOoFJeh0DnIoimq1wkO4YYrkOahjgADx2MUJ6343m5dmIE0EuMWTRawioz7Aj5Muw2HChnzIpOjeu4mPPZQAOi5AIQ4KwUSzEdAB%252FZPgp92Ke9JILu3voBzfH6ILVnNlMaUYJod7lBcEbgWDpWrEbGeGNFsynUVrDGlzYuo%252BKI1k94PpwYcrALM1%252FfGrUp%252BzYK00YoUE45ZnDcI5m%252F6fqp%252BGQUfzjmdQDgqRGhzbGY0%252BlCv4huhWxMB9RwxTqXpLOJKisbERcCJyNx0iV4QkUgDoF%7Cclp%3A2499334%7Ctkp%3ABFBMnPvpjpZf,151.99,0.00,Authenticity Guarantee,jamjoathletics,99.90%,Blue,adidas,8,,,,,,,,,,
"adidas 4d run 1.0 unisex shoes size 8, color: grey/red/green",https://www.ebay.com/itm/274994247013?hash=item4006ef3565:g:YSwAAOSwaW1hcW7o,147.90,0.00,Authenticity Guarantee,ogshoe,97.30%,Red,adidas,8,,,,,,,,,,
adidas adilette boost slides mens shoes size 13 black/white,https://www.ebay.com/itm/133824378643?hash=item1f288df713:g:FowAAOSw5a1g4fKS,74.95,0.00,No Guarantee,aco152,100.00%,Black,adidas,13,,,,,,,,,,
"adidas adizero 8.0 mens shoes size 13, color: white/blue",https://www.ebay.com/itm/133911614592?hash=item1f2dc11480:g:1o0AAOSwIRdhcuEy,89.90,0.00,No Guarantee,myshoespot,98.40%,White,adidas,13,,,,,,,,,,
"adidas adizero 8.0 mens shoes size 13, color: white/red",https://www.ebay.com/itm/194458276401?hash=item2d469dd231:g:zlEAAOSwjuRhcuEu,79.90,0.00,No Guarantee,myshoespot,98.40%,White,adidas,13,,,,,,,,,,
"adidas adizero 8.0 mens shoes size 14, color: white/blue",https://www.ebay.com/itm/133905961153?hash=item1f2d6ad0c1:g:CqwAAOSwiYpha4BA,79.90,0.00,No Guarantee,myshoespot,98.40%,White,adidas,14,,,,,,,,,,
"adidas adizero 8.0 mens shoes size 15, color: white/blue",https://www.ebay.com/itm/203662538606?hash=item2f6b3bb76e:g:znEAAOSwjuRhcuE2,89.90,0.00,No Guarantee,myshoespot,98.40%,White,adidas,15,,,,,,,,,,
