listing_name,listing_url,listing_price,listing_shipping_price,listing_authenticity,listing_Seller,listing_Seller_url,listing_Seller_rating,listing_color,listing_brand,listing_model,listing_size
"new balance mens fresh foam arishi trail v1 shoe, blue/yellow, 9 w (mtarisg1)",https://www.ebay.com/itm/312239511802?hash=item48b2ecd8fa:g:h4cAAOSwyohbfKov&var=612363946392,$64.89,0,"",superbuysdeals,https://www.ebay.com/usr/superbuysdeals?_trksid=p2047675.l2559,99.2% Positive feedback,Black,New Balance,,Size 9
new balance mens fresh foam arishi v3 marissg3 medium width running shoes,https://www.ebay.com/itm/122837433518?hash=item1c99ae7cae:g:1yYAAOSwaPFfmwQ7&var=425283388887,$59.95,0,"",shoecityoutlet,https://www.ebay.com/usr/shoecityoutlet?_trksid=p2047675.l2559,99.3% Positive feedback,Blue,New Balance,,
new balance mens fresh foam beacon v3 running shoe neo crimson/neo flame 11 ...,https://www.ebay.com/itm/265345687232?hash=item3dc7d5dec0:g:BSoAAOSwDLdhXIA6,$169.31,0,Authenticity Guarantee,japan7air5,https://www.ebay.com/usr/japan7air5?_trksid=p2047675.l2559,99.2% Positive feedback,Red,New Balance,,
new balance mens fresh foam beacon v3 running shoe neo crimson/neo flame 11wide,https://www.ebay.com/itm/114968574341?hash=item1ac4a93985:g:UCcAAOSwhPJhMg~Z,$100,7.75,Authenticity Guarantee,andypandy06_4,https://www.ebay.com/usr/andypandy06_4?_trksid=p2047675.l2559,98.6% Positive feedback,Red,New Balance,,
new balance mens fresh foam beacon v3 running shoe neo crimson/neo flame 12,https://www.ebay.com/itm/284275751541?hash=item423027ba75:g:ZBkAAOSwzGNgic2t,$166.28,0,Authenticity Guarantee,nogitta,https://www.ebay.com/usr/nogitta?_trksid=p2047675.l2559,97.8% Positive feedback,Red,New Balance,,
new balance mens fresh foam beacon v3 running shoe neo crimson/neo flame 9 us,https://www.ebay.com/itm/373762850032?hash=item5706007cf0:g:t-YAAOSwdwphcB1R,$162.34,0,Authenticity Guarantee,joshs-store-24,https://www.ebay.com/usr/joshs-store-24?_trksid=p2047675.l2559,99.2% Positive feedback,Red,New Balance,,Size 9
new balance mens fresh foam cruz v1 reissue shoes navy with navy,https://www.ebay.com/itm/324784234554?_trkparms=ispr%3D1&hash=item4b9ea6203a:g:gaUAAOSweTlhV2rN&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSOsplSiqug7sS7XxKGLiF33yjKfd8OmVUZsKTmq2l%252F5Vi9MDEDcJtOBTyNUByfQOAUNe2V28FPHyVyabNF08k20fEcsjqg1QlwrxTuCfk8RJQO5KUOSzl2W1RIh4j9GHMNBaFbJ%252BHfdT1joPmkqR5ZdCddlCyiuuv1XdOIiUK8k4bOzQv%252F3bryLizQkz7OQ%252B4hWt4cg5Xl6YWGOADDuuWIzUycsXwMaFYYlhBkcpcl0cHa2dm6Y19jGYJ8%252Fh1fdHucu8YEACYEnD1btq1X%252F2PutOz1hCk000H6enVO7%252BiRnscXaYTsgHLYvdkOCtQrbHaOWmaYZRVjDlPF4JyUuAVaQ3HQLm07KMvxeLJIOfRRzmY88xa3RaVfhfp1QOcv9dgthQPyrP59eh1nv4Khu0DmrQqfMjf5mZ3RgUpaJOusiv0Znptarh6BTswI3gUbCuE7bM%252B77kNSxbiBYWWzi%252F44ych4HL9ou%252FPV39DEOyXeBSb8vrPYOngHMVHXmJhDCCB3l3zPhIV6en2IarmdjZHPPElnOEFF9ZJH%252FsIgSoJegBOK9dZa%252BSiay73OkWBvZMsoPtNzvGw2295m67c1m2Z83EZ9AX6%252BaAvirfvd1Fvhb9TXAo1CLwqg4g7iJDFhwOzzLO%252Fhko0xgGyrgUNdLR0LK9EWRoWVD4rF8RNGOUr%252FHa7zf1vA%252FLHF%252BDIoQhvbovzHwJxBJRZqdd77Inb4Oc6U7reXX3L6e3WDo4Zuf3QIatJ4q7zxZMFhVc4InJkGZWpDbtT71s%252BCvs8zs4GvN5kWmRA89%252FxVtVI5XVp1vV7qCjYl4%252BdGgz2qVDeRR8epnyB%7Campid%3APL_CLK%7Cclp%3A2499334&var=513789761337,$59.99,0,"",joesoutlet,https://www.ebay.com/usr/joesoutlet?_trksid=p2047675.l2559,98.4% Positive feedback,Blue,New Balance,,
new balance mens fresh foam cruz v1 retro running shoes indigo/pigment,https://www.ebay.com/itm/333321304133?hash=item4d9b7f7845:g:X7cAAOSw1h5dcp2l&var=542359843243,$49.99,0,"",shoeworldplususa,https://www.ebay.com/usr/shoeworldplususa?_trksid=p2047675.l2559,98.8% Positive feedback,Blue,New Balance,,
new balance mens fresh foam cruz v2 knit shoe new authentic blue/white mcruzkn2,https://www.ebay.com/itm/254537926555?hash=item3b43a4879b:g:4V0AAOSwlA9eaUnW&var=554238075484,$49.99,10.15,"",your_sneaker_store,https://www.ebay.com/usr/mystitched?_trksid=p2047675.l2559,100% Positive feedback,Blue,New Balance,,
new balance mens fresh foam metal baseball cleats black white l3000bk4,https://www.ebay.com/itm/312239511802?hash=item48b2ecd8fa:g:h4cAAOSwyohbfKov&var=612363946392,$54.95,19.95,"","","","",Black,New Balance,,
"new balance mens fresh foam more v2 running shoe, black/magnet, 11 d(m) us",https://www.ebay.com/p/16043984964?iid=184229332887,$94.99,0,"",optimalrun,https://www.ebay.com/usr/optimalrun?_trksid=p2047675.l2559,99.9% Positive feedback,Black,New Balance,,
"new balance mens fresh foam more v2 running shoe, black/magnet, 12 d(m) us",https://www.ebay.com/p/22045982315?iid=353424916603,$94.99,0,"",optimalrun,https://www.ebay.com/usr/optimalrun?_trksid=p2047675.l2559,99.9% Positive feedback,Black,New Balance,,Size 12
"new balance mens fresh foam more v2 running shoe, black/magnet, 14 d(m) us",https://www.ebay.com/itm/254495445632?hash=item3b411c5280:g:UqoAAOSwkaNeL-sd&var=554175002669,$94.99,0,"",optimalrun,https://www.ebay.com/usr/optimalrun?_trksid=p2047675.l2559,99.9% Positive feedback,Black,New Balance,,Size 14
"new balance mens fresh foam more v2 running shoe, black/magnet, 8 d(m) us",https://www.ebay.com/itm/312239511802?hash=item48b2ecd8fa:g:h4cAAOSwyohbfKov&var=612363946392,$94.99,0,"",optimalrun,https://www.ebay.com/usr/optimalrun?_trksid=p2047675.l2559,99.9% Positive feedback,Black,New Balance,,
